sourceName,objectType,system,layer,baseName,side,suffix,paren,proposedAnatomyId,polyCount,include
Extensor digitorum longus.e4r,MESH,Muscular insertions,muscle,Extensor digitorum longus.e4r,,,,muscle.extensorDigitorumLongusE4r,13,
Extensor digitorum longus.el,MESH,Muscular insertions,muscle,Extensor digitorum longus.el,,,,muscle.extensorDigitorumLongusEl,14,
Extensor digitorum longus.er,MESH,Muscular insertions,muscle,Extensor digitorum longus.er,,,,muscle.extensorDigitorumLongusEr,14,
Extensor digitorum longus.o1l,MESH,Muscular insertions,muscle,Extensor digitorum longus.o1l,,,,muscle.extensorDigitorumLongusO1l,200,
Extensor digitorum longus.o1r,MESH,Muscular insertions,muscle,Extensor digitorum longus.o1r,,,,muscle.extensorDigitorumLongusO1r,200,
Extensor hallucis brevis.l,MESH,Muscular system,muscle,Extensor hallucis brevis,left,l,,muscle.extensorHallucisBrevis,1118,
Extensor hallucis brevis.ol,MESH,Muscular insertions,muscle,Extensor hallucis brevis,left,ol,,muscle.extensorHallucisBrevis,29,
Extensor hallucis brevis.or,MESH,Muscular insertions,muscle,Extensor hallucis brevis,right,or,,muscle.extensorHallucisBrevis,29,
Extensor hallucis brevis.r,MESH,Muscular system,muscle,Extensor hallucis brevis,right,r,,muscle.extensorHallucisBrevis,1118,
Extensor hallucis longus.l,MESH,Muscular system,muscle,Extensor hallucis longus,left,l,,muscle.extensorHallucisLongus,2362,
Extensor hallucis longus.ol,MESH,Muscular insertions,muscle,Extensor hallucis longus,left,ol,,muscle.extensorHallucisLongus,321,
Extensor hallucis longus.or,MESH,Muscular insertions,muscle,Extensor hallucis longus,right,or,,muscle.extensorHallucisLongus,321,
Extensor hallucis longus.r,MESH,Muscular system,muscle,Extensor hallucis longus,right,r,,muscle.extensorHallucisLongus,2362,
Extensor hallucis longus.el,MESH,Muscular insertions,muscle,Extensor hallucis longus.el,,,,muscle.extensorHallucisLongusEl,18,
Extensor hallucis longus.er,MESH,Muscular insertions,muscle,Extensor hallucis longus.er,,,,muscle.extensorHallucisLongusEr,18,
Extensor indicis.l,MESH,Muscular system,muscle,Extensor indicis,left,l,,muscle.extensorIndicis,1142,
Extensor indicis.ol,MESH,Muscular insertions,muscle,Extensor indicis,left,ol,,muscle.extensorIndicis,45,
Extensor indicis.or,MESH,Muscular insertions,muscle,Extensor indicis,right,or,,muscle.extensorIndicis,45,
Extensor indicis.r,MESH,Muscular system,muscle,Extensor indicis,right,r,,muscle.extensorIndicis,1142,
Extensor indicis.el,MESH,Muscular insertions,muscle,Extensor indicis.el,,,,muscle.extensorIndicisEl,12,
Extensor indicis.er,MESH,Muscular insertions,muscle,Extensor indicis.er,,,,muscle.extensorIndicisEr,12,
Extensor pollicis brevis.l,MESH,Muscular system,muscle,Extensor pollicis brevis,left,l,,muscle.extensorPollicisBrevis,1173,
Extensor pollicis brevis.ol,MESH,Muscular insertions,muscle,Extensor pollicis brevis,left,ol,,muscle.extensorPollicisBrevis,53,
Extensor pollicis brevis.or,MESH,Muscular insertions,muscle,Extensor pollicis brevis,right,or,,muscle.extensorPollicisBrevis,53,
Extensor pollicis brevis.r,MESH,Muscular system,muscle,Extensor pollicis brevis,right,r,,muscle.extensorPollicisBrevis,1173,
Extensor pollicis brevis.el,MESH,Muscular insertions,muscle,Extensor pollicis brevis.el,,,,muscle.extensorPollicisBrevisEl,14,
Extensor pollicis brevis.er,MESH,Muscular insertions,muscle,Extensor pollicis brevis.er,,,,muscle.extensorPollicisBrevisEr,14,
Extensor pollicis longus.l,MESH,Muscular system,muscle,Extensor pollicis longus,left,l,,muscle.extensorPollicisLongus,1602,
Extensor pollicis longus.ol,MESH,Muscular insertions,muscle,Extensor pollicis longus,left,ol,,muscle.extensorPollicisLongus,64,
Extensor pollicis longus.or,MESH,Muscular insertions,muscle,Extensor pollicis longus,right,or,,muscle.extensorPollicisLongus,64,
Extensor pollicis longus.r,MESH,Muscular system,muscle,Extensor pollicis longus,right,r,,muscle.extensorPollicisLongus,1602,
Extensor pollicis longus.el,MESH,Muscular insertions,muscle,Extensor pollicis longus.el,,,,muscle.extensorPollicisLongusEl,13,
Extensor pollicis longus.er,MESH,Muscular insertions,muscle,Extensor pollicis longus.er,,,,muscle.extensorPollicisLongusEr,13,
Extensor retinaculum of wrist.l,MESH,Muscular system,muscle,Extensor retinaculum of wrist,left,l,,muscle.extensorRetinaculumOfWrist,78,
Extensor retinaculum of wrist.r,MESH,Muscular system,muscle,Extensor retinaculum of wrist,right,r,,muscle.extensorRetinaculumOfWrist,78,
External abdominal oblique muscle.l,MESH,Muscular system,muscle,External abdominal oblique muscle,left,l,,muscle.externalAbdominalOblique,29622,
External abdominal oblique muscle.ol,MESH,Muscular insertions,muscle,External abdominal oblique muscle,left,ol,,muscle.externalAbdominalOblique,132,
External abdominal oblique muscle.or,MESH,Muscular insertions,muscle,External abdominal oblique muscle,right,or,,muscle.externalAbdominalOblique,132,
External abdominal oblique muscle.r,MESH,Muscular system,muscle,External abdominal oblique muscle,right,r,,muscle.externalAbdominalOblique,29622,
External abdominal oblique muscle.o1l,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o1l,,,,muscle.externalAbdominalObliqueMuscleO1l,142,
External abdominal oblique muscle.o1r,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o1r,,,,muscle.externalAbdominalObliqueMuscleO1r,142,
External abdominal oblique muscle.o2l,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o2l,,,,muscle.externalAbdominalObliqueMuscleO2l,115,
External abdominal oblique muscle.o2r,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o2r,,,,muscle.externalAbdominalObliqueMuscleO2r,115,
External abdominal oblique muscle.o3l,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o3l,,,,muscle.externalAbdominalObliqueMuscleO3l,215,
External abdominal oblique muscle.o3r,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o3r,,,,muscle.externalAbdominalObliqueMuscleO3r,215,
External abdominal oblique muscle.o4l,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o4l,,,,muscle.externalAbdominalObliqueMuscleO4l,56,
External abdominal oblique muscle.o4r,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o4r,,,,muscle.externalAbdominalObliqueMuscleO4r,56,
External abdominal oblique muscle.o5l,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o5l,,,,muscle.externalAbdominalObliqueMuscleO5l,191,
External abdominal oblique muscle.o5r,MESH,Muscular insertions,muscle,External abdominal oblique muscle.o5r,,,,muscle.externalAbdominalObliqueMuscleO5r,191,
External anal sphincter.l,MESH,Muscular system,muscle,External anal sphincter,left,l,,muscle.externalAnalSphincter,202,
External anal sphincter.r,MESH,Muscular system,muscle,External anal sphincter,right,r,,muscle.externalAnalSphincter,202,
External intercostal muscles.l,MESH,Muscular system,muscle,External intercostal muscles,left,l,,muscle.externalIntercostalMuscles,41357,
External intercostal muscles.r,MESH,Muscular system,muscle,External intercostal muscles,right,r,,muscle.externalIntercostalMuscles,41357,
External part of thyro-arytenoid muscle.l,MESH,Muscular system,muscle,External part of thyro-arytenoid muscle,left,l,,muscle.externalPartOfThyroArytenoid,2236,
External part of thyro-arytenoid muscle.r,MESH,Muscular system,muscle,External part of thyro-arytenoid muscle,right,r,,muscle.externalPartOfThyroArytenoid,2236,
Extra-ocular muscles.j,MESH,Muscular system,muscle,Extra-ocular muscles,,j,,muscle.extraOcularMuscles,0,
Extrinsic auricular muscles.j,MESH,Muscular system,muscle,Extrinsic auricular muscles,,j,,muscle.extrinsicAuricularMuscles,0,
Facial muscles.j,MESH,Muscular system,muscle,Facial muscles,,j,,muscle.facialMuscles,0,
Fascia lata.l,MESH,Muscular system,muscle,Fascia lata,left,l,,muscle.fasciaLata,6530,
Fascia lata.r,MESH,Muscular system,muscle,Fascia lata,right,r,,muscle.fasciaLata,6530,
Fasciae.j,MESH,Muscular system,muscle,Fasciae,,j,,muscle.fasciae,0,
Fasciae of abdomen.j,MESH,Muscular system,muscle,Fasciae of abdomen,,j,,muscle.fasciaeOfAbdomen,0,
Fasciae of head.j,MESH,Muscular system,muscle,Fasciae of head,,j,,muscle.fasciaeOfHead,0,
Fasciae of lower limb.j,MESH,Muscular system,muscle,Fasciae of lower limb,,j,,muscle.fasciaeOfLowerLimb,0,
Fasciae of thorax.j,MESH,Muscular system,muscle,Fasciae of thorax,,j,,muscle.fasciaeOfThorax,0,
Fasciae of upper limb.j,MESH,Muscular system,muscle,Fasciae of upper limb,,j,,muscle.fasciaeOfUpperLimb,0,
Fibular tarsal tendon sheaths.j,MESH,Muscular system,muscle,Fibular tarsal tendon sheaths,,j,,muscle.fibularTarsalTendonSheaths,0,
Fibularis brevis muscle.l,MESH,Muscular system,muscle,Fibularis brevis muscle,left,l,,muscle.fibularisBrevis,3446,
Fibularis brevis muscle.ol,MESH,Muscular insertions,muscle,Fibularis brevis muscle,left,ol,,muscle.fibularisBrevis,56,
Fibularis brevis muscle.or,MESH,Muscular insertions,muscle,Fibularis brevis muscle,right,or,,muscle.fibularisBrevis,56,
Fibularis brevis muscle.r,MESH,Muscular system,muscle,Fibularis brevis muscle,right,r,,muscle.fibularisBrevis,3446,
Fibularis brevis muscle.el,MESH,Muscular insertions,muscle,Fibularis brevis muscle.el,,,,muscle.fibularisBrevisMuscleEl,42,
Fibularis brevis muscle.er,MESH,Muscular insertions,muscle,Fibularis brevis muscle.er,,,,muscle.fibularisBrevisMuscleEr,42,
Fibularis longus muscle.l,MESH,Muscular system,muscle,Fibularis longus muscle,left,l,,muscle.fibularisLongus,5522,
Fibularis longus muscle.ol,MESH,Muscular insertions,muscle,Fibularis longus muscle,left,ol,,muscle.fibularisLongus,91,
Fibularis longus muscle.or,MESH,Muscular insertions,muscle,Fibularis longus muscle,right,or,,muscle.fibularisLongus,91,
Fibularis longus muscle.r,MESH,Muscular system,muscle,Fibularis longus muscle,right,r,,muscle.fibularisLongus,5522,
Fibularis tertius muscle.l,MESH,Muscular system,muscle,Fibularis tertius muscle,left,l,,muscle.fibularisTertius,586,
Fibularis tertius muscle.ol,MESH,Muscular insertions,muscle,Fibularis tertius muscle,left,ol,,muscle.fibularisTertius,6,
Fibularis tertius muscle.or,MESH,Muscular insertions,muscle,Fibularis tertius muscle,right,or,,muscle.fibularisTertius,6,
Fibularis tertius muscle.r,MESH,Muscular system,muscle,Fibularis tertius muscle,right,r,,muscle.fibularisTertius,586,
Fibularis tertius muscle.el,MESH,Muscular insertions,muscle,Fibularis tertius muscle.el,,,,muscle.fibularisTertiusMuscleEl,24,
Fibularis tertius muscle.er,MESH,Muscular insertions,muscle,Fibularis tertius muscle.er,,,,muscle.fibularisTertiusMuscleEr,24,
Flexor carpi radialis.l,MESH,Muscular system,muscle,Flexor carpi radialis,left,l,,muscle.flexorCarpiRadialis,1666,
Flexor carpi radialis.r,MESH,Muscular system,muscle,Flexor carpi radialis,right,r,,muscle.flexorCarpiRadialis,1666,
Flexor carpi ulnaris.el,MESH,Muscular insertions,muscle,Flexor carpi ulnaris.el,,,,muscle.flexorCarpiUlnarisEl,56,
Flexor carpi ulnaris.er,MESH,Muscular insertions,muscle,Flexor carpi ulnaris.er,,,,muscle.flexorCarpiUlnarisEr,56,
Flexor digiti minimi of foot.l,MESH,Muscular system,muscle,Flexor digiti minimi of foot,left,l,,muscle.flexorDigitiMinimiOfFoot,464,
Flexor digiti minimi of foot.r,MESH,Muscular system,muscle,Flexor digiti minimi of foot,right,r,,muscle.flexorDigitiMinimiOfFoot,464,
Flexor digiti minimi of foot.el,MESH,Muscular insertions,muscle,Flexor digiti minimi of foot.el,,,,muscle.flexorDigitiMinimiOfFootEl,29,
Flexor digiti minimi of foot.er,MESH,Muscular insertions,muscle,Flexor digiti minimi of foot.er,,,,muscle.flexorDigitiMinimiOfFootEr,29,
Flexor digiti minimi of hand.l,MESH,Muscular system,muscle,Flexor digiti minimi of hand,left,l,,muscle.flexorDigitiMinimiOfHand,308,
Flexor digiti minimi of hand.ol,MESH,Muscular insertions,muscle,Flexor digiti minimi of hand,left,ol,,muscle.flexorDigitiMinimiOfHand,12,
Flexor digiti minimi of hand.or,MESH,Muscular insertions,muscle,Flexor digiti minimi of hand,right,or,,muscle.flexorDigitiMinimiOfHand,12,
Flexor digiti minimi of hand.r,MESH,Muscular system,muscle,Flexor digiti minimi of hand,right,r,,muscle.flexorDigitiMinimiOfHand,308,
Flexor digiti minimi of hand.el,MESH,Muscular insertions,muscle,Flexor digiti minimi of hand.el,,,,muscle.flexorDigitiMinimiOfHandEl,62,
Flexor digiti minimi of hand.er,MESH,Muscular insertions,muscle,Flexor digiti minimi of hand.er,,,,muscle.flexorDigitiMinimiOfHandEr,62,
Flexor digitorum brevis.l,MESH,Muscular system,muscle,Flexor digitorum brevis,left,l,,muscle.flexorDigitorumBrevis,3224,
Flexor digitorum brevis.ol,MESH,Muscular insertions,muscle,Flexor digitorum brevis,left,ol,,muscle.flexorDigitorumBrevis,39,
Flexor digitorum brevis.or,MESH,Muscular insertions,muscle,Flexor digitorum brevis,right,or,,muscle.flexorDigitorumBrevis,39,
Flexor digitorum brevis.r,MESH,Muscular system,muscle,Flexor digitorum brevis,right,r,,muscle.flexorDigitorumBrevis,3224,
Flexor digitorum brevis.e1l,MESH,Muscular insertions,muscle,Flexor digitorum brevis.e1l,,,,muscle.flexorDigitorumBrevisE1l,58,
Flexor digitorum brevis.e1r,MESH,Muscular insertions,muscle,Flexor digitorum brevis.e1r,,,,muscle.flexorDigitorumBrevisE1r,58,
Flexor digitorum brevis.e2l,MESH,Muscular insertions,muscle,Flexor digitorum brevis.e2l,,,,muscle.flexorDigitorumBrevisE2l,25,
Flexor digitorum brevis.e2r,MESH,Muscular insertions,muscle,Flexor digitorum brevis.e2r,,,,muscle.flexorDigitorumBrevisE2r,25,
Flexor digitorum brevis.el,MESH,Muscular insertions,muscle,Flexor digitorum brevis.el,,,,muscle.flexorDigitorumBrevisEl,29,
Flexor digitorum brevis.er,MESH,Muscular insertions,muscle,Flexor digitorum brevis.er,,,,muscle.flexorDigitorumBrevisEr,29,
Flexor digitorum longus.l,MESH,Muscular system,muscle,Flexor digitorum longus,left,l,,muscle.flexorDigitorumLongus,6836,
Flexor digitorum longus.ol,MESH,Muscular insertions,muscle,Flexor digitorum longus,left,ol,,muscle.flexorDigitorumLongus,17,
Flexor digitorum longus.or,MESH,Muscular insertions,muscle,Flexor digitorum longus,right,or,,muscle.flexorDigitorumLongus,17,
Flexor digitorum longus.r,MESH,Muscular system,muscle,Flexor digitorum longus,right,r,,muscle.flexorDigitorumLongus,6836,
Flexor digitorum longus.e1l,MESH,Muscular insertions,muscle,Flexor digitorum longus.e1l,,,,muscle.flexorDigitorumLongusE1l,17,
Flexor digitorum longus.e1r,MESH,Muscular insertions,muscle,Flexor digitorum longus.e1r,,,,muscle.flexorDigitorumLongusE1r,17,
Flexor digitorum longus.e2l,MESH,Muscular insertions,muscle,Flexor digitorum longus.e2l,,,,muscle.flexorDigitorumLongusE2l,10,
Flexor digitorum longus.e2r,MESH,Muscular insertions,muscle,Flexor digitorum longus.e2r,,,,muscle.flexorDigitorumLongusE2r,10,
Flexor digitorum longus.e3l,MESH,Muscular insertions,muscle,Flexor digitorum longus.e3l,,,,muscle.flexorDigitorumLongusE3l,15,
Flexor digitorum longus.e3r,MESH,Muscular insertions,muscle,Flexor digitorum longus.e3r,,,,muscle.flexorDigitorumLongusE3r,15,
Flexor digitorum longus.el,MESH,Muscular insertions,muscle,Flexor digitorum longus.el,,,,muscle.flexorDigitorumLongusEl,18,
Flexor digitorum longus.er,MESH,Muscular insertions,muscle,Flexor digitorum longus.er,,,,muscle.flexorDigitorumLongusEr,18,
Flexor digitorum profundus.l,MESH,Muscular system,muscle,Flexor digitorum profundus,left,l,,muscle.flexorDigitorumProfundus,7110,
Flexor digitorum profundus.r,MESH,Muscular system,muscle,Flexor digitorum profundus,right,r,,muscle.flexorDigitorumProfundus,7110,
Flexor digitorum profundus.e1l,MESH,Muscular insertions,muscle,Flexor digitorum profundus.e1l,,,,muscle.flexorDigitorumProfundusE1l,11,
Flexor digitorum profundus.e1r,MESH,Muscular insertions,muscle,Flexor digitorum profundus.e1r,,,,muscle.flexorDigitorumProfundusE1r,11,
Flexor digitorum profundus.e2l,MESH,Muscular insertions,muscle,Flexor digitorum profundus.e2l,,,,muscle.flexorDigitorumProfundusE2l,7,
Flexor digitorum profundus.e2r,MESH,Muscular insertions,muscle,Flexor digitorum profundus.e2r,,,,muscle.flexorDigitorumProfundusE2r,7,
Flexor digitorum profundus.e3l,MESH,Muscular insertions,muscle,Flexor digitorum profundus.e3l,,,,muscle.flexorDigitorumProfundusE3l,13,
Flexor digitorum profundus.e3r,MESH,Muscular insertions,muscle,Flexor digitorum profundus.e3r,,,,muscle.flexorDigitorumProfundusE3r,13,
Flexor digitorum profundus.el,MESH,Muscular insertions,muscle,Flexor digitorum profundus.el,,,,muscle.flexorDigitorumProfundusEl,7,
Flexor digitorum profundus.er,MESH,Muscular insertions,muscle,Flexor digitorum profundus.er,,,,muscle.flexorDigitorumProfundusEr,7,
Flexor digitorum superficialis.ol,MESH,Muscular insertions,muscle,Flexor digitorum superficialis,left,ol,,muscle.flexorDigitorumSuperficialis,41,
Flexor digitorum superficialis.or,MESH,Muscular insertions,muscle,Flexor digitorum superficialis,right,or,,muscle.flexorDigitorumSuperficialis,41,
Flexor digitorum superficialis.e1l,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.e1l,,,,muscle.flexorDigitorumSuperficialisE1l,24,
Flexor digitorum superficialis.e1r,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.e1r,,,,muscle.flexorDigitorumSuperficialisE1r,24,
Flexor digitorum superficialis.e2l,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.e2l,,,,muscle.flexorDigitorumSuperficialisE2l,25,
Flexor digitorum superficialis.e2r,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.e2r,,,,muscle.flexorDigitorumSuperficialisE2r,25,
Flexor digitorum superficialis.e3l,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.e3l,,,,muscle.flexorDigitorumSuperficialisE3l,25,
Flexor digitorum superficialis.e3r,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.e3r,,,,muscle.flexorDigitorumSuperficialisE3r,25,
Flexor digitorum superficialis.el,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.el,,,,muscle.flexorDigitorumSuperficialisEl,24,
Flexor digitorum superficialis.er,MESH,Muscular insertions,muscle,Flexor digitorum superficialis.er,,,,muscle.flexorDigitorumSuperficialisEr,24,
Flexor hallucis brevis.j,MESH,Muscular system,muscle,Flexor hallucis brevis,,j,,muscle.flexorHallucisBrevis,0,
Flexor hallucis longus.l,MESH,Muscular system,muscle,Flexor hallucis longus,left,l,,muscle.flexorHallucisLongus,5878,
Flexor hallucis longus.ol,MESH,Muscular insertions,muscle,Flexor hallucis longus,left,ol,,muscle.flexorHallucisLongus,231,
Flexor hallucis longus.or,MESH,Muscular insertions,muscle,Flexor hallucis longus,right,or,,muscle.flexorHallucisLongus,231,
Flexor hallucis longus.r,MESH,Muscular system,muscle,Flexor hallucis longus,right,r,,muscle.flexorHallucisLongus,5878,
Flexor hallucis longus.el,MESH,Muscular insertions,muscle,Flexor hallucis longus.el,,,,muscle.flexorHallucisLongusEl,17,
Flexor hallucis longus.er,MESH,Muscular insertions,muscle,Flexor hallucis longus.er,,,,muscle.flexorHallucisLongusEr,17,
Flexor pollicis longus.l,MESH,Muscular system,muscle,Flexor pollicis longus,left,l,,muscle.flexorPollicisLongus,1666,
Flexor pollicis longus.ol,MESH,Muscular insertions,muscle,Flexor pollicis longus,left,ol,,muscle.flexorPollicisLongus,12,
Flexor pollicis longus.or,MESH,Muscular insertions,muscle,Flexor pollicis longus,right,or,,muscle.flexorPollicisLongus,12,
Flexor pollicis longus.r,MESH,Muscular system,muscle,Flexor pollicis longus,right,r,,muscle.flexorPollicisLongus,1666,
Flexor pollicis longus.el,MESH,Muscular insertions,muscle,Flexor pollicis longus.el,,,,muscle.flexorPollicisLongusEl,6,
Flexor pollicis longus.er,MESH,Muscular insertions,muscle,Flexor pollicis longus.er,,,,muscle.flexorPollicisLongusEr,6,
Flexor pollicis longus.o1l,MESH,Muscular insertions,muscle,Flexor pollicis longus.o1l,,,,muscle.flexorPollicisLongusO1l,125,
Flexor pollicis longus.o1r,MESH,Muscular insertions,muscle,Flexor pollicis longus.o1r,,,,muscle.flexorPollicisLongusO1r,125,
Flexor retinaculum of ankle.l,MESH,Muscular system,muscle,Flexor retinaculum of ankle,left,l,,muscle.flexorRetinaculumOfAnkle,154,
Flexor retinaculum of ankle.r,MESH,Muscular system,muscle,Flexor retinaculum of ankle,right,r,,muscle.flexorRetinaculumOfAnkle,154,
Flexor retinaculum of wrist.l,MESH,Muscular system,muscle,Flexor retinaculum of wrist,left,l,,muscle.flexorRetinaculumOfWrist,113,
Flexor retinaculum of wrist.r,MESH,Muscular system,muscle,Flexor retinaculum of wrist,right,r,,muscle.flexorRetinaculumOfWrist,113,
Frontalis muscle.l,MESH,Muscular system,muscle,Frontalis muscle,left,l,,muscle.frontalis,5874,
Frontalis muscle.ol,MESH,Muscular insertions,muscle,Frontalis muscle,left,ol,,muscle.frontalis,57,
Frontalis muscle.or,MESH,Muscular insertions,muscle,Frontalis muscle,right,or,,muscle.frontalis,57,
Frontalis muscle.r,MESH,Muscular system,muscle,Frontalis muscle,right,r,,muscle.frontalis,5874,
Genioglossus muscle.l,MESH,Muscular system,muscle,Genioglossus muscle,left,l,,muscle.genioglossus,3746,
Genioglossus muscle.r,MESH,Muscular system,muscle,Genioglossus muscle,right,r,,muscle.genioglossus,3746,
Geniohyoid muscle.l,MESH,Muscular system,muscle,Geniohyoid muscle,left,l,,muscle.geniohyoid,530,
Geniohyoid muscle.ol,MESH,Muscular insertions,muscle,Geniohyoid muscle,left,ol,,muscle.geniohyoid,7,
Geniohyoid muscle.or,MESH,Muscular insertions,muscle,Geniohyoid muscle,right,or,,muscle.geniohyoid,7,
Geniohyoid muscle.r,MESH,Muscular system,muscle,Geniohyoid muscle,right,r,,muscle.geniohyoid,530,
Geniohyoid muscle.el,MESH,Muscular insertions,muscle,Geniohyoid muscle.el,,,,muscle.geniohyoidMuscleEl,27,
Geniohyoid muscle.er,MESH,Muscular insertions,muscle,Geniohyoid muscle.er,,,,muscle.geniohyoidMuscleEr,27,
Gluteus maximus muscle.l,MESH,Muscular system,muscle,Gluteus maximus muscle,left,l,,muscle.gluteusMaximus,3326,
Gluteus maximus muscle.ol,MESH,Muscular insertions,muscle,Gluteus maximus muscle,left,ol,,muscle.gluteusMaximus,76,
Gluteus maximus muscle.or,MESH,Muscular insertions,muscle,Gluteus maximus muscle,right,or,,muscle.gluteusMaximus,76,
Gluteus maximus muscle.r,MESH,Muscular system,muscle,Gluteus maximus muscle,right,r,,muscle.gluteusMaximus,3326,
Gluteus maximus muscle.el,MESH,Muscular insertions,muscle,Gluteus maximus muscle.el,,,,muscle.gluteusMaximusMuscleEl,60,
Gluteus maximus muscle.er,MESH,Muscular insertions,muscle,Gluteus maximus muscle.er,,,,muscle.gluteusMaximusMuscleEr,60,
Gluteus medius muscle.l,MESH,Muscular system,muscle,Gluteus medius muscle,left,l,,muscle.gluteusMedius,5176,
Gluteus medius muscle.ol,MESH,Muscular insertions,muscle,Gluteus medius muscle,left,ol,,muscle.gluteusMedius,52,
Gluteus medius muscle.or,MESH,Muscular insertions,muscle,Gluteus medius muscle,right,or,,muscle.gluteusMedius,52,
Gluteus medius muscle.r,MESH,Muscular system,muscle,Gluteus medius muscle,right,r,,muscle.gluteusMedius,5176,
Gluteus medius muscle.el,MESH,Muscular insertions,muscle,Gluteus medius muscle.el,,,,muscle.gluteusMediusMuscleEl,37,
Gluteus medius muscle.er,MESH,Muscular insertions,muscle,Gluteus medius muscle.er,,,,muscle.gluteusMediusMuscleEr,37,
Gluteus minimus muscle.l,MESH,Muscular system,muscle,Gluteus minimus muscle,left,l,,muscle.gluteusMinimus,6250,
Gluteus minimus muscle.ol,MESH,Muscular insertions,muscle,Gluteus minimus muscle,left,ol,,muscle.gluteusMinimus,82,
Gluteus minimus muscle.or,MESH,Muscular insertions,muscle,Gluteus minimus muscle,right,or,,muscle.gluteusMinimus,82,
Gluteus minimus muscle.r,MESH,Muscular system,muscle,Gluteus minimus muscle,right,r,,muscle.gluteusMinimus,6250,
Gracilis muscle.l,MESH,Muscular system,muscle,Gracilis muscle,left,l,,muscle.gracilis,4812,
Gracilis muscle.ol,MESH,Muscular insertions,muscle,Gracilis muscle,left,ol,,muscle.gracilis,59,
Gracilis muscle.or,MESH,Muscular insertions,muscle,Gracilis muscle,right,or,,muscle.gracilis,59,
Gracilis muscle.r,MESH,Muscular system,muscle,Gracilis muscle,right,r,,muscle.gracilis,4812,
Gracilis muscle.el,MESH,Muscular insertions,muscle,Gracilis muscle.el,,,,muscle.gracilisMuscleEl,12,
Gracilis muscle.er,MESH,Muscular insertions,muscle,Gracilis muscle.er,,,,muscle.gracilisMuscleEr,12,
Humeral head of extensor carpi ulnaris.l,MESH,Muscular system,muscle,Humeral head of extensor carpi ulnaris,left,l,,muscle.humeralHeadOfExtensorCarpiUlnaris,830,
Humeral head of extensor carpi ulnaris.r,MESH,Muscular system,muscle,Humeral head of extensor carpi ulnaris,right,r,,muscle.humeralHeadOfExtensorCarpiUlnaris,830,
Humeral head of flexor carpi ulnaris.l,MESH,Muscular system,muscle,Humeral head of flexor carpi ulnaris,left,l,,muscle.humeralHeadOfFlexorCarpiUlnaris,3912,
Humeral head of flexor carpi ulnaris.r,MESH,Muscular system,muscle,Humeral head of flexor carpi ulnaris,right,r,,muscle.humeralHeadOfFlexorCarpiUlnaris,3912,
Humero-ulnar head of flexor digitorum superficialis.l,MESH,Muscular system,muscle,Humero-ulnar head of flexor digitorum superficialis,left,l,,muscle.humeroUlnarHeadOfFlexorDigitorumSuperficialis,12798,
Humero-ulnar head of flexor digitorum superficialis.r,MESH,Muscular system,muscle,Humero-ulnar head of flexor digitorum superficialis,right,r,,muscle.humeroUlnarHeadOfFlexorDigitorumSuperficialis,12798,
Hyoglossus muscle.l,MESH,Muscular system,muscle,Hyoglossus muscle,left,l,,muscle.hyoglossus,1424,
Hyoglossus muscle.r,MESH,Muscular system,muscle,Hyoglossus muscle,right,r,,muscle.hyoglossus,1424,
Hypaxial muscles of back.j,MESH,Muscular system,muscle,Hypaxial muscles of back,,j,,muscle.hypaxialMusclesOfBack,0,
Iliacus muscle.l,MESH,Muscular system,muscle,Iliacus muscle,left,l,,muscle.iliacus,4354,
Iliacus muscle.ol,MESH,Muscular insertions,muscle,Iliacus muscle,left,ol,,muscle.iliacus,62,
Iliacus muscle.or,MESH,Muscular insertions,muscle,Iliacus muscle,right,or,,muscle.iliacus,62,
Iliacus muscle.r,MESH,Muscular system,muscle,Iliacus muscle,right,r,,muscle.iliacus,4354,
Iliococcygeus muscle.l,MESH,Muscular system,muscle,Iliococcygeus muscle,left,l,,muscle.iliococcygeus,1962,
Iliococcygeus muscle.r,MESH,Muscular system,muscle,Iliococcygeus muscle,right,r,,muscle.iliococcygeus,1962,
Iliocostalis colli muscle,MESH,Muscular system,muscle,Iliocostalis colli muscle,,,,muscle.iliocostalisColli,2050,
Iliocostalis colli muscle.r,MESH,Muscular system,muscle,Iliocostalis colli muscle,right,r,,muscle.iliocostalisColli,2050,
Iliocostalis colli muscle.el,MESH,Muscular insertions,muscle,Iliocostalis colli muscle.el,,,,muscle.iliocostalisColliMuscleEl,16,
