sourceName,objectType,system,layer,baseName,side,suffix,paren,proposedAnatomyId,polyCount,include
Zygomatic process of frontal bone.j,MESH,Skeletal system,bone,Zygomatic process of frontal bone,,j,,bone.zygomaticProcessOfFrontal,0,
Acetabular labrum.l,MESH,Joints,joint,Acetabular labrum,left,l,,joint.acetabularLabrum,176,
Acetabular labrum.r,MESH,Joints,joint,Acetabular labrum,right,r,,joint.acetabularLabrum,176,
Acromioclavicular ligament.l,MESH,Joints,joint,Acromioclavicular ligament,left,l,,joint.acromioclavicularLigament,4,
Acromioclavicular ligament.r,MESH,Joints,joint,Acromioclavicular ligament,right,r,,joint.acromioclavicularLigament,4,
Ankle joint.j,MESH,Joints,joint,Ankle joint,,j,,joint.ankle,0,
Annular ligament of radius.l,MESH,Joints,joint,Annular ligament of radius,left,l,,joint.annularLigamentOfRadius,18,
Annular ligament of radius.r,MESH,Joints,joint,Annular ligament of radius,right,r,,joint.annularLigamentOfRadius,18,
Anterior cruciate ligament.l,MESH,Joints,joint,Anterior cruciate ligament,left,l,,joint.anteriorCruciateLigament,808,
Anterior cruciate ligament.r,MESH,Joints,joint,Anterior cruciate ligament,right,r,,joint.anteriorCruciateLigament,808,
Anterior ligament of fibular head.l,MESH,Joints,joint,Anterior ligament of fibular head,left,l,,joint.anteriorLigamentOfFibularHead,4,
Anterior ligament of fibular head.r,MESH,Joints,joint,Anterior ligament of fibular head,right,r,,joint.anteriorLigamentOfFibularHead,4,
Anterior longitudinal ligament,MESH,Joints,joint,Anterior longitudinal ligament,,,,joint.anteriorLongitudinalLigament,280,
Anterior meniscotibial ligament (Lateral meniscus).l,MESH,Joints,joint,Anterior meniscotibial ligament (Lateral meniscus),left,l,,joint.anteriorMeniscotibialLigamentLateralMeniscus,12,
Anterior meniscotibial ligament (Lateral meniscus).r,MESH,Joints,joint,Anterior meniscotibial ligament (Lateral meniscus),right,r,,joint.anteriorMeniscotibialLigamentLateralMeniscus,12,
Anterior meniscotibial ligament (Medial meniscus).l,MESH,Joints,joint,Anterior meniscotibial ligament (Medial meniscus),left,l,,joint.anteriorMeniscotibialLigamentMedialMeniscus,7,
Anterior meniscotibial ligament (Medial meniscus).r,MESH,Joints,joint,Anterior meniscotibial ligament (Medial meniscus),right,r,,joint.anteriorMeniscotibialLigamentMedialMeniscus,7,
